🎬 Titre;📅 Année;🏷️ Type;🎯 Thème;🏟️ Club-sélection;👥 Personnages clés;Date diffusion;📺 Diffuseur;🗣️ Langue;Qualité;⏳ Durée (min);🎞️ Série-Collection;Commentaires sur fichier
Europe des Onze - 22 mars;1999;Magazine TV;Championnats européens, Magazine football;;;22/03/1999;Canal+ Belgique;Français;;0;Europe des Onze;Fichier incomplet
Jour de Foot - 18 décembre;1999;Magazine TV;Ligue 1, Magazine football;;;18/12/1999;Canal+;Français;;0;Jour de Foot;
Le plus beau match du monde;1999;Documentaire, Rétrospective;Histoire du football, Match de légende;;;;Canal+;Français;MKV;0;;Titre exact conservé. Le sujet précis n'a pas pu être identifié de façon assez sûre 
Campionato io ti amo - Saison 1998-1999;1999;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
D2 Max - 1998-99 - J24;1999;Magazine TV;Ligue 1, Ligue 2, Magazine football;;;;Canal+;Français;;30;D2 Max;
D2 Max - 1998-99 - J30;1999;Magazine TV;Ligue 1, Ligue 2, Magazine football;;;;Canal+;Français;;30;D2 Max;
D2 Max - 1998-99 - J35;1999;Magazine TV;Ligue 1, Ligue 2, Magazine football;;;;Canal+;Français;;30;D2 Max;
D2 Max - 1998-99 - J36;1999;Magazine TV;Ligue 1, Ligue 2, Magazine football;;;;Canal+;Français;;30;D2 Max;
Division 1 - Saison 1998-1999;1999;Résumé de saison, Rétrospective;Ligue 1;;;;;Français;;0;;
On est les champions !;1999;Documentaire;Coupe du Monde (général), Coupe du monde 1998, Rétrospective, Supporters, Sélections nationales, Équipe de France;France;;;Canal+;Français;;66;;Film réalisé en 1999 à partir de films amateurs tournés le jour de la finale du Mondial 1998.
Téléfoot - Bordeaux champion de France;1999;Magazine TV;Magazine football;Girondins de Bordeaux;;;TF1;Français;;0;Téléfoot;
Téléfoot - Girondins de Bordeaux champion99;1999;Magazine TV;Club, Ligue 1, Magazine football;Girondins de Bordeaux;;;TF1;Français;;0;Téléfoot;
Secrets d'actualité - Affaire OM-VA : l'histoire secrète;2000;Enquête, Magazine TV;Affaires et scandales, Club, Corruption, Histoire du football;Olympique de Marseille, Valenciennes;Bernard Tapie, Jacques Glassmann;;M6;Français;;0;Secrets d'actualité;Année indiquée dans la copie d'archive trouvée en ligne : 2000.
Téléfoot - avec José luis Chilavert novembre;2000;Magazine TV;Magazine football;;José Luis Chilavert;;TF1;Français;;0;Téléfoot;
Téléfoot - 16 janvier 2000;2000;Archive TV, Magazine TV;Magazine football;;;16/01/2000;TF1;Français;MPG;0;Téléfoot;
Europe des Onze - 7 février;2000;Magazine TV;Championnats européens, Magazine football;;;07/02/2000;Canal+ Belgique;Français;;0;Europe des Onze;
Téléfoot - 22 avril;2000;Magazine TV;Magazine football;FC Gueugnon;;22/04/2000;TF1;Français;;0;Téléfoot;
Téléfoot - 14 mai;2000;Magazine TV;Magazine football;;;14/05/2000;TF1;Français;;0;Téléfoot;
Téléfoot - 13 août;2000;Magazine TV;Magazine football;;;13/08/2000;TF1;Français;;0;Téléfoot;
2000 cassette officielle;2000;Film officiel;Football;;;;;;;0;;
Campionato io ti amo - 1999-2000 - Bonus 06;2000;Rétrospective;Club, Histoire du football italien, Serie A;Olympique de Marseille;;;Rai Sport;Italien;;0;Campionato Io ti amo;
Campionato io ti amo - 1999-2000 - Bonus 08;2000;Rétrospective;Club, Histoire du football italien, Serie A;Olympique de Marseille;;;Rai Sport;Italien;;0;Campionato Io ti amo;
Campionato io ti amo - 1999-2000 - Bonus 10;2000;Rétrospective;Club, Histoire du football italien, Serie A;Olympique de Marseille;;;Rai Sport;Italien;;0;Campionato Io ti amo;
Campionato io ti amo - 1999-2000 - Bonus 11;2000;Rétrospective;Club, Histoire du football italien, Serie A;Olympique de Marseille;;;Rai Sport;Italien;;0;Campionato Io ti amo;
Campionato io ti amo - 1999-2000 - Bonus 12;2000;Rétrospective;Club, Histoire du football italien, Serie A;Olympique de Marseille;;;Rai Sport;Italien;;0;Campionato Io ti amo;
Campionato io ti amo - 1999-2000 - Bonus 13;2000;Rétrospective;Club, Histoire du football italien, Serie A;Olympique de Marseille;;;Rai Sport;Italien;;0;Campionato Io ti amo;
Campionato io ti amo - Saison 1999-2000;2000;Rétrospective;Club, Histoire du football italien, Serie A;Olympique de Marseille;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;Doublon/variante présent dans le fichier source
Euro 2000 - Le parcours des bleus;2000;Documentaire;Euro (général), Euro 2000, Sélections nationales, Équipe de France;France;;;;;;0;;
Euro 2000 Foot tout les buts commentaires France Television;2000;Documentaire;Buts, Euro (général), Euro 2000, Sélections nationales;;;;France Télévisions;Français;;0;;
Hors Stade;2000;Documentaire;Football;;;;;;;0;;
Jour de Foot - 1999-00 - J20;2000;Magazine TV;Ligue 1, Magazine football;;;;Canal+;Français;;0;Jour de Foot;
Jour de Foot - 1999-00 - J22;2000;Magazine TV;Ligue 1, Magazine football;;;;Canal+;Français;;0;Jour de Foot;
Jour de Foot - 1999-00 - J32;2000;Magazine TV;Ligue 1, Magazine football;;;;Canal+;Français;;0;Jour de Foot;
Jour de Foot - 1999-2000 - J37;2000;Magazine TV;Ligue 1, Magazine football;;;;Canal+;Français;;0;Jour de Foot;
Jour de Foot - 1999-2000 - J38;2000;Magazine TV;Ligue 1, Magazine football;;;;Canal+;Français;;0;Jour de Foot;
Le Zapping du siècle 1954;2000;Documentaire;Football;;;;;;;0;;
Téléfoot - Monaco champion de France;2000;Magazine TV;Magazine football;AS Monaco;;;TF1;Français;;0;Téléfoot;
Euro 2000 - Review - DVD 1;2000;Compilation, Rétrospective, Spécial compétition;Euro (général), Euro 2000, Sélections nationales;;;;;Français;DVD, MKV;0;Euro 2000 Review;Compilation personnelle - DVD 1 sur 4.
Euro 2000 - Review - DVD 2;2000;Compilation, Rétrospective, Spécial compétition;Euro (général), Euro 2000, Sélections nationales;;;;;Français;DVD, MKV;0;Euro 2000 Review;Compilation personnelle - DVD 2 sur 4.
Euro 2000 - Review - DVD 3;2000;Compilation, Rétrospective, Spécial compétition;Euro (général), Euro 2000, Sélections nationales;;;;;Français;DVD, MKV;0;Euro 2000 Review;Compilation personnelle - DVD 3 sur 4.
Euro 2000 - Review - DVD 4;2000;Compilation, Rétrospective, Spécial compétition;Euro (général), Euro 2000, Sélections nationales;;;;;Français;DVD, MKV;0;Euro 2000 Review;Compilation personnelle - DVD 4 sur 4.
Rui Costa - La Luce;2001;Documentaire;Carrière, Club, Portrait;Benfica, Fiorentina, Portugal;Rui Costa;;;Italien;;50;;DVD commercial identifié. Cassette vidéo présentée en mars 2001 
Téléfoot - 11 février;2001;Magazine TV;Magazine football;;;11/02/2001;TF1;Français;;0;Téléfoot;
Téléfoot - 25 février;2001;Magazine TV;Magazine football;;;25/02/2001;TF1;Français;;0;Téléfoot;
Téléfoot - 24 juin 2001;2001;Archive TV, Magazine TV;Magazine football;;;24/06/2001;TF1;Français;MP4;0;Téléfoot;
Téléfoot - 10 octobre;2001;Magazine TV;Magazine football;;;10/10/2001;TF1;Français;;0;Téléfoot;
Téléfoot - 25 novembre;2001;Magazine TV;Magazine football;;;25/11/2001;TF1;Français;;0;Téléfoot;
Téléfoot - 2 décembre;2001;Magazine TV;Magazine football;;;02/12/2001;TF1;Français;;0;Téléfoot;
Téléfoot - 9 décembre;2001;Magazine TV;Magazine football;;;09/12/2001;TF1;Français;;0;Téléfoot;
Europe des Onze - 17 décembre;2001;Magazine TV;Championnats européens, Magazine football;;;17/12/2001;Canal+ Belgique;Français;;0;Europe des Onze;
Campionato io ti amo - Saison 2000-2001;2001;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Jour de Foot - 2000-2001 - J34;2001;Magazine TV;Ligue 1, Magazine football;;;;Canal+;Français;;0;Jour de Foot;
Les Yeux dans les Bleus 2 - Dans les coulisses des Bleus;2001;Documentaire;Coulisses, Équipe de France;France;;;Canal+;Français;;89;;
Lyon Saison 2000-2001;2001;Documentaire;Club;Olympique Lyonnais;;;;;;0;;
Téléfoot;2001;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - FC Nantes champion de France;2001;Magazine TV;Magazine football;FC Nantes;;;TF1;Français;;0;Téléfoot;
Téléfoot - la 1000 ème en octobre;2001;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Les meilleurs moments du Championnat de France - Saison 2000-2001;2001;Compilation, Rétrospective;Ligue 1, Rétrospective de saison;;;;;;VHS;0;;
Téléfoot - 22 septembre;2002;Magazine TV;Magazine football;AJ Auxerre;Guy Roux;22/09/2002;TF1;Français;;0;Téléfoot;
Zidane - Comme dans un rêve;2002;Documentaire;Carrière, Club, Portrait;AS Cannes, France, Girondins de Bordeaux, Juventus, Real Madrid;Zinédine Zidane;23/04/2002;Canal+;Français;;90;;
Téléfoot - d'Avril 2002 avec Mauricio Pochettino et Laurent Deutsch;2002;Magazine TV;Magazine football;;Mauricio Pochettino;;TF1;Français;;0;Téléfoot;
Coupe du Monde 2002 - Des quarts à la finale - DVD 5;2002;Compilation personnelle, Rétrospective;Coupe du Monde (général), Coupe du Monde 2002, Finale, Phase finale, Sélections nationales;Allemagne, Brésil;Oliver Kahn, Rivaldo, Ronaldinho, Ronaldo Nazário;;;Français;MKV;0;Coupe du Monde 2002 - Rétrospective personnelle;Compilation personnelle - DVD 5 sur 5.
À la Clairefontaine - Épisode 1;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 10;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 11;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 12;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 13;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 14;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 15;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 16;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 2;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 3;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 4;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 5;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 6;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 7;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 8;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
À la Clairefontaine - Épisode 9;2002;Série documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;;Canal+;Français;;25;À la Clairefontaine;
Téléfoot - 16 juin;2002;Magazine TV;Magazine football;;;16/06/2002;TF1;Français;;0;Téléfoot;Fichier partiel
Manchester United - The Official History 1878-2002;2002;Documentaire, Vidéo officielle;Club, Histoire du football;Manchester United;;21/10/2002;;Anglais;;170;;Documentaire officiel de 170 min
Téléfoot - 27 octobre;2002;Magazine TV;Magazine football;;;27/10/2002;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 10 novembre;2002;Magazine TV;Magazine football;;;10/11/2002;TF1;Français;;0;Téléfoot;
Téléfoot - 15 décembre;2002;Magazine TV;Magazine football;;;15/12/2002;TF1;Français;;0;Téléfoot;
Coupe du Monde 2002 - Huitièmes de finale - DVD 4;2002;Compilation personnelle, Rétrospective;Coupe du Monde (général), Coupe du Monde 2002, Sélections nationales;;;;;Français;MKV;0;Coupe du Monde 2002 - Rétrospective personnelle;Compilation personnelle - DVD 4 sur 5.
Coupe du Monde 2002 - 1er tour - DVD 3;2002;Compilation personnelle, Rétrospective;Coupe du Monde (général), Coupe du Monde 2002, Sélections nationales;;;;;Français;MKV;0;Coupe du Monde 2002 - Rétrospective personnelle;Compilation personnelle - DVD 3 sur 5.
Coupe du Monde 2002 - 1er tour - DVD 2;2002;Compilation personnelle, Rétrospective;Coupe du Monde (général), Coupe du Monde 2002, Sélections nationales;;;;;Français;MKV;0;Coupe du Monde 2002 - Rétrospective personnelle;Compilation personnelle - DVD 2 sur 5.
Coupe du Monde 2002 - 1er tour - DVD 1;2002;Compilation personnelle, Rétrospective;Coupe du Monde (général), Coupe du Monde 2002, Sélections nationales;;;;;Français;MKV;0;Coupe du Monde 2002 - Rétrospective personnelle;Compilation personnelle - DVD 1 sur 5.
2002 Tous les buts;2002;Compilation;Buts;;;;;;;0;;
Campionato io ti amo - Saison 2001-2002;2002;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Jour de Foot - 2001-2002 - J34;2002;Magazine TV;Ligue 1, Magazine football;;;;Canal+;Français;;0;Jour de Foot;
Le film de la Coupe du Monde 2002 part1;2002;Documentaire;Coupe du Monde (général), Coupe du Monde 2002, Sélections nationales;;;;;;;0;;
Le film de la Coupe du Monde 2002 part2;2002;Documentaire;Coupe du Monde (général), Coupe du Monde 2002, Sélections nationales;;;;;;;0;;
Les Yeux dans les Bleus 3 - La Désillusion;2002;Documentaire;Coupe du Monde (général), Sélections nationales, Équipe de France;France;;;Canal+;Français;;88;;
Téléfoot - Lyon champion de France;2002;Magazine TV;Magazine football;Olympique Lyonnais;;;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 17 août;2003;Magazine TV;Magazine football;;Louis Nicollin;17/08/2003;TF1;Français;;0;Téléfoot;
Téléfoot - Coupe des Confédérations 2003;2003;Archive TV, Magazine TV, Spécial compétition;Coupe des Confédérations (général), Coupe des Confédérations 2003, Magazine football, Sélections nationales;France;Jacques Santini, Thierry Henry;;TF1;Français;Qualité moyenne;0;Téléfoot;Nouveau dossier repéré dans l'inventaire plus complet. Il regroupe des contenus Téléfoot autour de la Coupe des Confédérations 2003
Téléfoot - 2 février;2003;Magazine TV;Magazine football;;;02/02/2003;TF1;Français;;0;Téléfoot;
Europe des Onze - 17 février;2003;Magazine TV;Championnats européens, Magazine football;;;17/02/2003;Canal+ Belgique;Français;;0;Europe des Onze;
Europe des Onze - 24 février;2003;Magazine TV;Championnats européens, Magazine football;;;24/02/2003;Canal+ Belgique;Français;;0;Europe des Onze;
Téléfoot - 2 mars;2003;Magazine TV;Magazine football;;;02/03/2003;TF1;Français;;0;Téléfoot;
Téléfoot - 6 avril;2003;Magazine TV;Magazine football;;;06/04/2003;TF1;Français;;0;Téléfoot;
Téléfoot - 27 avril;2003;Magazine TV;Magazine football;;;27/04/2003;TF1;Français;;0;Téléfoot;
Téléfoot - 4 mai;2003;Magazine TV;Magazine football;;;04/05/2003;TF1;Français;;0;Téléfoot;
Téléfoot - 18 mai;2003;Magazine TV;Magazine football;;;18/05/2003;TF1;Français;;0;Téléfoot;
Téléfoot - 27 juillet;2003;Magazine TV;Magazine football;;;27/07/2003;TF1;Français;;0;Téléfoot;
Week-end Sportif;2003;Archive TV, Émission spéciale;Football;;;24/08/2003;RTBF;Français;;0;;
Téléfoot - 5 octobre;2003;Magazine TV;Magazine football;;;05/10/2003;TF1;Français;;0;Téléfoot;
100 Greatest UEFA Champions League Goals;2003;Compilation;Buts, Histoire du football, Ligue des champions (général), Records;;;;;Anglais;;0;UEFA Champions League;couvrant 1992 à 2003., Édition commerciale répertoriée sous le titre « UEFA Champions League 100 Greatest Goals ». Compilation UEFA des 100 plus beaux buts de la Ligue des champions
Campionato io ti amo - Saison 2002-2003;2003;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Jour de Foot - Lyon champion de France;2003;Magazine TV;Ligue 1, Magazine football;Olympique Lyonnais;;;Canal+;Français;;0;Jour de Foot;Doublon/variante présent dans le fichier source
Le Périple Rouge;2004;Documentaire;Club, Coulisses, Ligue des champions (général), Ligue des champions 2003-2004, Rétrospective;AS Monaco;Didier Deschamps, Fernando Morientes, Jérôme Rothen, Ludovic Giuly, Patrice Evra;06/06/2004;Canal+;Français;MPG;0;;Retour sur l'épopée européenne de l'AS Monaco en Ligue des champions 2003-2004.
Téléfoot - Euro 2004 - 13 juin 2004;2004;Archive TV, Magazine TV, Spécial compétition;Euro (général), Euro 2004, Magazine football, Sélections nationales;France;Didier Deschamps, Laurent Blanc;13/06/2004;TF1;Français;DVD, MKV;0;Téléfoot;Le fichier comporte aussi une séquence intitulée « Adieu Deschamps Blanc ».
Special Ronaldo 2004 l ESPN Sports FR;2004;Documentaire;Carrière, Club, Portrait;Brésil, Real Madrid;Ronaldo Nazário;;ESPN;Français;;0;;
20 ans de foot;2004;Documentaire;Histoire du football, Ligue 1, Médias;;Hervé Mathoux;;Canal+;Français;;69;;Doublon/variante présent dans le fichier source. Durée corrigée à environ 69 min (jusqu'au générique) 
Téléfoot - 1 février;2004;Magazine TV;Magazine football;;;01/02/2004;TF1;Français;;0;Téléfoot;
Téléfoot - 8 février;2004;Magazine TV;Magazine football;;;08/02/2004;TF1;Français;;0;Téléfoot;
Téléfoot - 22 février;2004;Magazine TV;Magazine football;;;22/02/2004;TF1;Français;;0;Téléfoot;
Europe des Onze - 1 mars;2004;Magazine TV;Championnats européens, Magazine football;;;01/03/2004;Canal+ Belgique;Français;;0;Europe des Onze;
Téléfoot - 14 mars;2004;Magazine TV;Magazine football;;;14/03/2004;TF1;Français;VHS;0;Téléfoot;Source VHS
Téléfoot - 9 mai;2004;Magazine TV;Magazine football;;;09/05/2004;TF1;Français;;0;Téléfoot;
Téléfoot - 23 mai;2004;Magazine TV;Magazine football;;;23/05/2004;TF1;Français;;0;Téléfoot;
Téléfoot - 20 juin 2004;2004;Archive TV, Magazine TV, Spécial compétition;Euro (général), Euro 2004, Magazine football, Sélections nationales;France;;20/06/2004;TF1;Français;MPG;0;Téléfoot;
Téléfoot - Euro 2004 - 20 et 27 juin 2004;2004;Archive TV, Magazine TV, Spécial compétition;Euro (général), Euro 2004, Magazine football, Sélections nationales;France;;27/06/2004;TF1;Français;DVD, MKV;0;Téléfoot;Un même fichier regroupe les émissions des 20 et 27 juin 2004.
Téléfoot - 17 octobre;2004;Magazine TV;Magazine football;;;17/10/2004;TF1;Français;720p;0;Téléfoot;
L'Équipe du Dimanche - 28 novembre;2004;Magazine TV;Championnats européens, Magazine football;;;28/11/2004;Canal+;Français;;45;L'Équipe du Dimanche;
Téléfoot - 5 décembre;2004;Magazine TV;Magazine football;;;05/12/2004;TF1;Français;;0;Téléfoot;
Campionato io ti amo - Saison 2003-2004;2004;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Le DVD officiel;2004;Film officiel;Football;;;;France Télévisions;Français;DVD;0;;
Téléfoot - Lyon champion de France 2004 37 ème journée;2004;Magazine TV;Magazine football;Olympique Lyonnais;;;TF1;Français;;0;Téléfoot;
Zap foot;2004;Documentaire;Football;;;;;;;0;;
Real - La película;2005;Documentaire, Film officiel;Club, Culture football;Real Madrid;David Beckham, Raúl, Ronaldo Nazário, Zinédine Zidane;26/08/2005;;Espagnol;;91;;Identifié comme « Real, film officiel consacré au Real Madrid., la película » de Borja Manso
David Beckham - Capital;2005;Magazine TV, Portrait;Carrière, Club, Portrait;Angleterre, Real Madrid;David Beckham;;M6;Français;;0;Capital;
L'Équipe du Dimanche - 14 février;2005;Magazine TV;Championnats européens, Magazine football;;;14/02/2005;Canal+;Français;;45;L'Équipe du Dimanche;
Téléfoot - 27 mars;2005;Magazine TV;Magazine football;;;27/03/2005;TF1;Français;720p;0;Téléfoot;
Téléfoot - 17 avril;2005;Magazine TV;Magazine football;;;17/04/2005;TF1;Français;;0;Téléfoot;
Jour de Foot - 27 août;2005;Magazine TV;Ligue 1, Magazine football;;;27/08/2005;Canal+;Français;;0;Jour de Foot;
Campionato io ti amo - Saison 2004-2005;2005;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Chelsea F C Centenary;2005;Documentaire;Club, Histoire du football;Chelsea;;;;;DVD;0;;
Foot yougoslave;2005;Documentaire;Club, Histoire du football, Yougoslavie;Yougoslavie;;;ESPN;;;0;;
Histoire de la Ligue des champions 1955-2005 - 10 THE 2000 CHAMPIONS 2003-2005;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - AND NOW CHAMPIONS! 1993-1995;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - AT THE LAST MINUTE 1981-1986;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - BLACK & WHITE 1996-1998;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - FOOTBALL CHAMPAGNE 1987-1992;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - KINGS OF EUROPE 1999-2002;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - MADRID IN THE LEGEND 1956-1960;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - THE GIANTS OF THE NORTH 1974-1980;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - THE ITALIAN QUEENS 1961-1967;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - THE TULIPS REVOLUTION 1968-1973;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Histoire de la Ligue des champions 1955-2005 - ИСТОРИЯ ФИНАЛОВ 1955-2005;2005;Documentaire;Histoire du football, Ligue des champions (général), Ligue des champions 1955-2005;;;;;;;0;Histoire de la Ligue des champions 1955-2005;
Leeds United - Best of Europe;2005;Compilation, Documentaire;Club, Compétitions européennes, Coupes d’Europe, Histoire du football;Leeds United, Manchester United;;;;Anglais;;95;;Programme présent en deux parties dans le fichier source. DVD consacré aux campagnes européennes de Leeds United de 1967 à 2001.
Football - l'intelligence collective;2006;Documentaire;Club, Football français, Intelligence collective, Tactique;FC Lorient;Christian Gourcuff;;France 5;Français;;52;;
Journal de 20 heures - Retour sur le coup de boule de Zidane;2006;Archive TV, Émission spéciale;Coupe du Monde (général), Sélections nationales, Équipe de France;France;Zinédine Zidane;12/07/2006;France 2;Français;;0;;
Les grands moments de la télé - Les débuts de Zidane;2006;Documentaire;Archives TV, Portrait;;Zinédine Zidane;;France 3;Français;;0;;
Révélations sur un coup de tête;2006;Documentaire;Coupe du Monde (général), Polémique, Équipe de France;France;Zinédine Zidane;;M6;Français;DVD;0;;Source DVD (dossier VIDEO_TS)
Une équipe de rêve;2006;Documentaire;Amitié, Portrait, Société;;Zinédine Zidane;;Arte;Français;;75;;
Maradona - un gamin en or;2006;Documentaire;Club, Football argentin, Portrait;Argentine;Diego Maradona;;Arte;Français;720p;93;;Durée de la version Arte (1 h 33)
Téléfoot - Spécial Coupe du Monde 2006;2006;Magazine TV, Spécial compétition;Coupe du Monde (général), Coupe du Monde 2006, Magazine football, Sélections nationales, Équipe de France;France;Franck Ribéry, Patrick Vieira, Raymond Domenech, Thierry Henry, Zinedine Zidane;;TF1;Français;MKV;0;Téléfoot;Spécial Téléfoot consacré au Mondial 2006 et au parcours de l'équipe de France.
FIFA - Du foot et du fric;2006;Documentaire;Affaires et scandales, Argent, FIFA, Gouvernance;;Andrew Jennings, João Havelange, Sepp Blatter;16/01/2007;Arte;Français;;49;;Production 2006 
À la Clairefontaine - 7 ans après;2006;Documentaire;Coulisses, Formation, Jeunes, Équipe de France;France;Abou Diaby, Geoffroy Jourdren, Habib Bellaïd, Hatem Ben Arfa, Quentin Westberg, Ricardo Faty;08/10/2006;Canal+;Français;;95;À la Clairefontaine;
Téléfoot - 18 juin;2006;Magazine TV;Magazine football;;;18/06/2006;TF1;Français;;0;Téléfoot;
